Frecuency Phase velocity
(kHz)	(m/ms)
1	0.280567
2	0.395785
3	0.483373
4	0.55664
5	0.620643
6	0.67802
7	0.730352
8	0.778683
9	0.823684
10	0.865917
11	0.905746
12	0.943511
13	0.979437
14	1.01372
15	1.04654
16	1.07803
17	1.10831
18	1.13748
19	1.16562
20	1.19281
21	1.21913
22	1.24463
23	1.26936
24	1.29336
25	1.31669
26	1.33938
27	1.36147
28	1.38298
29	1.40395
30	1.4244
31	1.44437
32	1.46386
33	1.4829
34	1.50152
35	1.51972
36	1.53753
37	1.55496
38	1.57203
39	1.58875
40	1.60513
41	1.62119
42	1.63694
43	1.65238
44	1.66753
45	1.6824
46	1.697
47	1.71134
48	1.72541
49	1.73924
50	1.75283
51	1.76619
52	1.77931
53	1.79222
54	1.80492
55	1.8174
56	1.82969
57	1.84178
58	1.85367
59	1.86538
60	1.87691
61	1.88826
62	1.89943
63	1.91044
64	1.92128
65	1.93197
66	1.94249
67	1.95287
68	1.96309
69	1.97316
70	1.9831
71	1.99289
72	2.00255
73	2.01207
74	2.02146
75	2.03073
76	2.03987
77	2.04888
78	2.05778
79	2.06655
80	2.07522
81	2.08377
82	2.0922
83	2.10053
84	2.10876
85	2.11687
86	2.12489
87	2.1328
88	2.14062
89	2.14834
90	2.15596
91	2.16349
92	2.17093
93	2.17827
94	2.18553
95	2.1927
96	2.19979
97	2.20679
98	2.21371
99	2.22055
100	2.22731
101	2.23399
102	2.24059
103	2.24712
104	2.25357
105	2.25995
106	2.26626
107	2.27249
108	2.27866
109	2.28475
110	2.29078
111	2.29675
112	2.30264
113	2.30848
114	2.31424
115	2.31995
116	2.32559
117	2.33118
118	2.3367
119	2.34216
120	2.34757
121	2.35292
122	2.35821
123	2.36345
124	2.36863
125	2.37376
126	2.37883
127	2.38385
128	2.38883
129	2.39375
130	2.39862
131	2.40343
132	2.40821
133	2.41293
134	2.4176
135	2.42223
136	2.42681
137	2.43135
138	2.43584
139	2.44029
140	2.44469
141	2.44905
142	2.45336
143	2.45764
144	2.46187
145	2.46606
146	2.47021
147	2.47433
148	2.4784
149	2.48243
150	2.48643

